Artist,Album,Genre,Style,Year,Ratings
The Field,Cupid's Head,Electronic,Leftfield,2013, 8.7 
Haim,Days Are Gone,Rock,Oi,2013, 8.3 
Chvrches,The Bones of What You Believe,Electronic,Indie Pop,2013, 8.5 
Grave Miasma,Odori Sepulcrorum,Rock,Death Metal,2013, 8.0 
Drake,Nothing Was the Same,Hip Hop,None,2013, 8.6 
Craig Leon,Nommos,Electronic,Experimental,2013, 8.0 
FKA twigs,EP2,Rock,Indie Rock,2013, 8.0 
The Dead C,Armed Courage,Rock,Experimental,2013, 8.4 
Bill Callahan,Dream River,Rock,Folk Rock,2013, 8.5 
Factory Floor,Factory Floor,Electronic,Post-Punk,2013, 8.2 
Arctic Monkeys,AM,Rock,Indie Rock,2013, 8.0 
Janelle Mon?e,The Electric Lady,Hip Hop,RnB/Swing,2013, 8.3 
Chelsea Wolfe,Pain Is Beauty,Electronic,Goth Rock,2013, 8.0 
Neko Case,The Worse Things Get the Harder I Fight...,Rock,Country,2013, 8.2 
Vattnet Viskar,Sky Swallower,Rock,Black Metal,2013, 8.0 
Vieux Farka Tour?,Mon Pays,Folk World & Country,None,2013, 8.0 
Various Artists,Eccentric Soul: The Forte Label,Funk / Soul,Funk,2013, 8.2 
